date,site_id,forecast_units
2026-01-01,S1,1028.0801857564093
2026-01-02,S1,1250.2372678018571
2026-01-03,S1,1015.5480893485842
2026-01-04,S1,927.6614629629737
2026-01-05,S1,1217.551284144885
2026-01-06,S1,1207.4194804351175
2026-01-07,S1,1239.5471081128153
2026-01-08,S1,1268.307499804411
2026-01-09,S1,1321.4289646724997
2026-01-10,S1,1014.7105278819108
2026-01-11,S1,919.1814868428464
2026-01-12,S1,1266.3624310290202
2026-01-13,S1,1248.7163894370963
2026-01-14,S1,1298.6568417542808
2026-01-01,S2,1126.6994238580526
2026-01-02,S2,1509.760612444698
2026-01-03,S2,940.5944678653321
2026-01-04,S2,785.104901198873
2026-01-05,S2,1554.5129111197098
2026-01-06,S2,1548.2784288052653
2026-01-07,S2,1567.0334362240856
2026-01-08,S2,1611.2656174731837
2026-01-09,S2,1537.2424806155627
2026-01-10,S2,969.0880211093532
2026-01-11,S2,783.6084567143959
2026-01-12,S2,1485.0126361605287
2026-01-13,S2,1526.6643952796662
2026-01-14,S2,1524.8766179122454
2026-01-01,S3,836.9119409326371
2026-01-02,S3,1026.4443149583212
2026-01-03,S3,717.4833076971141
2026-01-04,S3,668.1959149278225
2026-01-05,S3,1080.137079316523
2026-01-06,S3,1119.7592996986514
2026-01-07,S3,1091.9646795751237
2026-01-08,S3,1040.881766079629
2026-01-09,S3,1027.2986672207167
2026-01-10,S3,747.7139345214381
2026-01-11,S3,740.7019299835708
2026-01-12,S3,1097.8791344439496
2026-01-13,S3,1090.754970276791
2026-01-14,S3,1098.06105625991
2026-01-01,S4,973.6845718483971
2026-01-02,S4,1368.7965427639178
2026-01-03,S4,944.7923985036815
2026-01-04,S4,799.5781440289371
2026-01-05,S4,1367.4192239020274
2026-01-06,S4,1374.4306613505416
2026-01-07,S4,1363.7199642738592
2026-01-08,S4,1367.9217954083606
2026-01-09,S4,1336.0836115117265
2026-01-10,S4,940.8381089908108
2026-01-11,S4,831.7239796905492
2026-01-12,S4,1365.1782011438233
2026-01-13,S4,1369.3385143286016
2026-01-14,S4,1337.9780922983991
