date,site_id,forecast_units,forecast_power
2026-01-01,S1,1028.0801857564093,3194.830836140085
2026-01-02,S1,1250.2372678018571,5191.966536441787
2026-01-03,S1,1015.5480893485842,3100.646360821119
2026-01-04,S1,927.6614629629737,2675.2611839144283
2026-01-05,S1,1217.551284144885,5362.209555569894
2026-01-06,S1,1207.4194804351175,5495.0801399901675
2026-01-07,S1,1239.5471081128153,5416.649627170179
2026-01-08,S1,1268.307499804411,5184.906682659539
2026-01-09,S1,1321.4289646724997,5194.2901425327855
2026-01-10,S1,1014.7105278819108,3072.4619219248257
2026-01-11,S1,919.1814868428464,2777.2506762487783
2026-01-12,S1,1266.3624310290202,5379.38796962647
2026-01-13,S1,1248.7163894370963,5402.080516363828
2026-01-14,S1,1298.6568417542808,5302.680040735714
2026-01-01,S2,1126.6994238580526,2131.8625168610492
2026-01-02,S2,1509.760612444698,5276.529287082254
2026-01-03,S2,940.5944678653321,1912.0838052699644
2026-01-04,S2,785.104901198873,1637.1023676837362
2026-01-05,S2,1554.5129111197098,5353.516157327995
2026-01-06,S2,1548.2784288052653,5097.992777925616
2026-01-07,S2,1567.0334362240856,5274.523189910839
2026-01-08,S2,1611.2656174731837,5175.408291847999
2026-01-09,S2,1537.2424806155627,5162.215007700292
2026-01-10,S2,969.0880211093532,1910.2315840574165
2026-01-11,S2,783.6084567143959,1609.071259743954
2026-01-12,S2,1485.0126361605287,5425.613603733849
2026-01-13,S2,1526.6643952796662,5330.49235426878
2026-01-14,S2,1524.8766179122454,5327.863749778141
2026-01-01,S3,836.9119409326371,1836.5996890232366
2026-01-02,S3,1026.4443149583212,3974.616619991554
2026-01-03,S3,717.4833076971141,1869.4950675544274
2026-01-04,S3,668.1959149278225,1282.8956811521207
2026-01-05,S3,1080.137079316523,4014.6573827424863
2026-01-06,S3,1119.7592996986514,3947.7133555798046
2026-01-07,S3,1091.9646795751237,4090.921332193996
2026-01-08,S3,1040.881766079629,4066.388782471256
2026-01-09,S3,1027.2986672207167,4000.952213843507
2026-01-10,S3,747.7139345214381,1695.0062203396803
2026-01-11,S3,740.7019299835708,1278.9753674876488
2026-01-12,S3,1097.8791344439496,3928.391288048439
2026-01-13,S3,1090.754970276791,3952.822436683583
2026-01-14,S3,1098.06105625991,3966.046721232876
2026-01-01,S4,973.6845718483971,1851.3598132878749
2026-01-02,S4,1368.7965427639178,4620.658265295831
2026-01-03,S4,944.7923985036815,1618.1300371658888
2026-01-04,S4,799.5781440289371,1290.8123875716008
2026-01-05,S4,1367.4192239020274,4741.591397128201
2026-01-06,S4,1374.4306613505416,4664.586465702595
2026-01-07,S4,1363.7199642738592,4665.840434366021
2026-01-08,S4,1367.9217954083606,4606.048849167327
2026-01-09,S4,1336.0836115117265,4579.826384719344
2026-01-10,S4,940.8381089908108,1596.6524429882938
2026-01-11,S4,831.7239796905492,1328.464841419105
2026-01-12,S4,1365.1782011438233,4893.643697611036
2026-01-13,S4,1369.3385143286016,4762.979692115053
2026-01-14,S4,1337.9780922983991,4724.824491848968
